, player_id, player, team, position,min,max,ADP,count
186,13589,"Allen, Josh",BUF,QB,1.0,7.0,1.6,92
142,13116,"Mahomes, Patrick",KCC,QB,1.0,18.0,3.6,92
291,14779,"Herbert, Justin",LAC,QB,1.0,8.0,3.7,92
299,14802,"Taylor, Jonathan",IND,RB,1.0,14.0,4.4,94
377,5848,"Brady, Tom",TBB,QB,1.0,32.0,7.3,92
189,13593,"Jackson, Lamar",BAL,QB,3.0,16.0,7.4,92
289,14777,"Burrow, Joe",CIN,QB,3.0,30.0,8.3,92
239,14056,"Murray, Kyler",ARI,QB,2.0,31.0,8.6,92
48,10703,"Wilson, Russell",SEA,QB,3.0,38.0,11.0,92
378,7836,"Rodgers, Aaron",GBP,QB,3.0,35.0,11.5,92
110,12620,"Prescott, Dak",DAL,QB,3.0,37.0,11.7,92
380,9431,"Stafford, Matthew",LAR,QB,7.0,42.0,13.7,92
292,14783,"Hurts, Jalen",PHI,QB,6.0,48.0,14.0,92
158,13164,"Kupp, Cooper",LAR,WR,2.0,36.0,15.3,92
145,13130,"McCaffrey, Christian",CAR,RB,2.0,34.0,15.9,94
112,12626,"Henry, Derrick",TEN,RB,3.0,39.0,17.4,94
66,11644,"Carr, Derek",LVR,QB,13.0,70.0,19.0,92
180,13404,"Ekeler, Austin",LAC,RB,2.0,49.0,19.4,94
307,14836,"Jefferson, Justin",MIN,WR,2.0,35.0,19.6,92
47,10700,"Cousins, Kirk",MIN,QB,13.0,60.0,20.0,92
140,13113,"Watson, Deshaun",HOU,QB,7.0,52.0,22.2,92
0,0501,"Bills, Buffalo",BUF,Def,1.0,106.0,23.9,92
355,15281,"Chase, Ja'Marr",CIN,WR,5.0,52.0,24.3,92
290,14778,"Tagovailoa, Tua",MIA,QB,16.0,72.0,25.8,92
343,15254,"Harris, Najee",PIT,RB,6.0,53.0,27.9,94
143,13128,"Cook, Dalvin",MIN,RB,2.0,76.0,29.7,94
62,11244,"Kelce, Travis",KCC,TE,3.0,54.0,29.9,92
339,15240,"Lance, Trey",SFO,QB,14.0,93.0,30.4,92
146,13131,"Mixon, Joe",CIN,RB,8.0,59.0,33.1,94
379,9099,"Ryan, Matt",ATL,QB,16.0,68.0,33.7,92
27,0528,"Rams, Los Angeles",LAR,Def,8.0,112.0,33.8,92
194,13610,"Chubb, Nick",CLE,RB,7.0,66.0,36.2,94
