 player_id, player, team, position,min,max,ADP,count
13130,"McCaffrey, Christian",CAR,RB,1,8,2.2,26
13116,"Mahomes, Patrick",KCC,QB,1,9,2.2,26
13589,"Allen, Josh",BUF,QB,1,11,4.3,26
13128,"Cook, Dalvin",MIN,RB,1,10,5.5,26
11244,"Kelce, Travis",KCC,TE,1,10,5.7,25
14056,"Murray, Kyler",ARI,QB,2,39,7.6,25
13604,"Barkley, Saquon",NYG,RB,2,14,8.8,24
13593,"Jackson, Lamar",BAL,QB,3,42,9.5,26
12620,"Prescott, Dak",DAL,QB,3,44,10.2,23
12626,"Henry, Derrick",TEN,RB,3,17,10.3,24
13132,"Kamara, Alvin",NOS,RB,3,20,10.6,21
14779,"Herbert, Justin",LAC,QB,6,47,12.7,21
14802,"Taylor, Jonathan",IND,RB,7,25,13.8,18
14797,"Swift, D'Andre",DET,RB,14,14,14,1
10703,"Wilson, Russell",SEA,QB,6,48,14.5,20
7836,"Rodgers, Aaron",GBP,QB,4,32,14.9,15
12801,"Hill, Tyreek",KCC,WR,7,23,15,12
13610,"Chubb, Nick",CLE,RB,6,27,15.8,10
13299,"Kittle, George",SFO,TE,7,24,15.8,12
12263,"Waller, Darren",LVR,TE,9,36,16.4,17
11675,"Adams, Davante",GBP,WR,8,24,17,11
12625,"Elliott, Ezekiel",DAL,RB,9,32,17.8,13
13404,"Ekeler, Austin",LAC,RB,15,22,18.5,2
13319,"Jones, Aaron",GBP,RB,12,40,18.9,7
15319,"Palmer, Josh",LAC,WR,19,19,19,1
13131,"Mixon, Joe",CIN,RB,8,33,19.3,3
15254,"Harris, Najee",PIT,RB,4,35,19.5,2
12186,"Diggs, Stefon",BUF,WR,16,28,20.9,7
11222,"Allen, Keenan",LAC,WR,21,21,21,1
14799,"Akers, Cam",LAR,RB,18,25,21.3,3
14079,"Sanders, Miles",PHI,RB,22,22,22,1
14813,"Robinson, James",JAC,RB,23,23,23,1
15253,"Etienne, Travis",JAC,RB,6,41,23.5,2
5848,"Brady, Tom",TBB,QB,10,52,23.7,6
14073,"Jacobs, Josh",LVR,RB,25,25,25,1
14783,"Hurts, Jalen",PHI,QB,13,50,25.4,8
14800,"Dobbins, J.K.",BAL,RB,26,26,26,1
9431,"Stafford, Matthew",LAR,QB,15,65,27.1,7
14852,"Gibson, Antonio",WAS,RB,19,36,27.5,2
14102,"Metcalf, DK",SEA,WR,28,28,28,1
11232,"Hopkins, DeAndre",ARI,WR,27,30,28.3,3
14104,"Brown, A.J.",TEN,WR,29,29,29,1
14803,"Edwards-Helaire, Clyde",KCC,RB,30,30,30,1
15334,"Long, Hunter",MIA,TE,30,30,30,1
13364,"Carson, Chris",SEA,RB,31,31,31,1
15331,"Freiermuth, Pat",PIT,TE,31,31,31,1
