,team_name,abbreviation,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
0,Atlanta Hawks,ATL,1610612737,2023,00,Kobe Bufkin,Kobe,kobe-bufkin,,G,6-5,195,"SEP 21, 2003",19.0,R,Michigan,1641723,#15 Pick in 2023 Draft
1,Atlanta Hawks,ATL,1610612737,2023,00,Seth Lundy,Seth,seth-lundy,,G,6-6,220,"APR 02, 2000",23.0,R,Penn State,1641754,#46 Pick in 2023 Draft
2,Atlanta Hawks,ATL,1610612737,2023,00,Mouhamed Gueye,Mouhamed,mouhamed-gueye,,F,6-11,210,"NOV 09, 2002",20.0,R,Washington State,1631243,Signed on 07/03/23
3,Atlanta Hawks,ATL,1610612737,2023,00,Miles Norris,Miles,miles-norris,,,,,"APR 15, 2000",23.0,R,                                   ,1641936,Signed on 07/06/23
4,Atlanta Hawks,ATL,1610612737,2023,00,Bruno Fernando,Bruno,bruno-fernando,0,F-C,6-10,240,"AUG 15, 1998",25.0,4,Maryland,1628981,Traded from HOU on 02/09/23
5,Atlanta Hawks,ATL,1610612737,2023,00,Jalen Johnson,Jalen,jalen-johnson,1,F,6-8,219,"DEC 18, 2001",21.0,2,Duke,1630552,#20 Pick in 2021 Draft
6,Atlanta Hawks,ATL,1610612737,2023,00,Trent Forrest,Trent,trent-forrest,2,G,6-4,210,"JUN 12, 1998",25.0,3,Florida State,1630235,Signed on 08/08/22
7,Atlanta Hawks,ATL,1610612737,2023,00,Dejounte Murray,Dejounte,dejounte-murray,5,G,6-5,180,"SEP 19, 1996",26.0,6,Washington,1627749,Traded from SAS on 06/30/22
8,Atlanta Hawks,ATL,1610612737,2023,00,Patty Mills,Patty,patty-mills,8,G,6-0,180,"AUG 11, 1988",35.0,14,St. Mary's,201988,Traded from OKC on 07/12/23
9,Atlanta Hawks,ATL,1610612737,2023,00,Trae Young,Trae,trae-young,11,G,6-1,164,"SEP 19, 1998",24.0,5,Oklahoma,1629027,Draft Rights Traded from DAL on 06/21/18
10,Atlanta Hawks,ATL,1610612737,2023,00,De'Andre Hunter,De'Andre,deandre-hunter,12,F-G,6-8,221,"DEC 02, 1997",25.0,4,Virginia,1629631,Draft Rights Traded from NOP on 07/07/19
11,Atlanta Hawks,ATL,1610612737,2023,00,Bogdan Bogdanovic,Bogdan,bogdan-bogdanovic,13,G,6-5,225,"AUG 18, 1992",31.0,6,Fenerbahce,203992,Signed on 11/25/20
12,Atlanta Hawks,ATL,1610612737,2023,00,AJ Griffin,AJ,aj-griffin,14,F,6-6,220,"AUG 25, 2003",19.0,1,Duke,1631100,#16 Pick in 2022 Draft
13,Atlanta Hawks,ATL,1610612737,2023,00,Clint Capela,Clint,clint-capela,15,C,6-10,256,"MAY 18, 1994",29.0,9,Elan Chalon,203991,Traded from HOU on 02/05/20
14,Atlanta Hawks,ATL,1610612737,2023,00,Onyeka Okongwu,Onyeka,onyeka-okongwu,17,F-C,6-9,240,"DEC 11, 2000",22.0,3,Southern California,1630168,#6 Pick in 2020 Draft
15,Atlanta Hawks,ATL,1610612737,2023,00,Wesley Matthews,Wesley,wesley-matthews,23,G,6-5,220,"OCT 14, 1986",36.0,14,Marquette,202083,Signed on 07/21/23
16,Atlanta Hawks,ATL,1610612737,2023,00,Garrison Mathews,Garrison,garrison-mathews,25,G,6-6,215,"OCT 24, 1996",26.0,4,Lipscomb,1629726,Traded from HOU on 02/09/23
17,Atlanta Hawks,ATL,1610612737,2023,00,Saddiq Bey,Saddiq,saddiq-bey,41,F,6-7,215,"APR 09, 1999",24.0,3,Villanova,1630180,Traded from DET on 02/09/23
0,Boston Celtics,BOS,1610612738,2023,00,Jordan Walsh,Jordan,jordan-walsh,,G,6-7,205,"MAR 03, 2004",19.0,R,Arkansas,1641775,Draft Rights Traded from SAC on 06/28/23
1,Boston Celtics,BOS,1610612738,2023,00,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210,"MAR 03, 1998",25.0,6,Duke,1628369,#3 Pick in 2017 Draft
2,Boston Celtics,BOS,1610612738,2023,00,Jay Scrubb,Jay,jay-scrubb,0,G,6-5,220,"SEP 01, 2000",22.0,3,John A. Logan,1630206,Signed on 07/15/23
3,Boston Celtics,BOS,1610612738,2023,00,Kristaps Porzingis,Kristaps,kristaps-porzingis,6,F-C,7-3,240,"AUG 02, 1995",28.0,7,Cajasol Sevilla,204001,Traded from WAS on 06/23/23
4,Boston Celtics,BOS,1610612738,2023,00,Jaylen Brown,Jaylen,jaylen-brown,7,G-F,6-6,223,"OCT 24, 1996",26.0,7,California,1627759,#3 Pick in 2016 Draft
5,Boston Celtics,BOS,1610612738,2023,00,Derrick White,Derrick,derrick-white,9,G,6-4,190,"JUL 02, 1994",29.0,6,Colorado,1628401,Traded from SAS on 02/10/22
6,Boston Celtics,BOS,1610612738,2023,00,Payton Pritchard,Payton,payton-pritchard,11,G,6-1,195,"JAN 28, 1998",25.0,3,Oregon,1630202,#26 Pick in 2020 Draft
7,Boston Celtics,BOS,1610612738,2023,00,Oshae Brissett,Oshae,oshae-brissett,12,F-G,6-7,210,"JUN 20, 1998",25.0,4,Syracuse,1629052,Signed on 07/06/23
8,Boston Celtics,BOS,1610612738,2023,00,Malcolm Brogdon,Malcolm,malcolm-brogdon,13,G,6-4,229,"DEC 11, 1992",30.0,7,Virginia,1627763,Traded from IND on 07/09/22
9,Boston Celtics,BOS,1610612738,2023,00,JD Davison,JD,jd-davison,20,G,6-1,195,"OCT 03, 2002",20.0,1,Alabama,1631120,#53 Pick in 2022 Draft
10,Boston Celtics,BOS,1610612738,2023,00,Mfiondu Kabengele,Mfiondu,mfiondu-kabengele,28,C,6-10,250,"AUG 14, 1997",26.0,3,Florida State,1629662,Signed on 07/16/22
11,Boston Celtics,BOS,1610612738,2023,00,Sam Hauser,Sam,sam-hauser,30,F,6-7,217,"DEC 08, 1997",25.0,2,Virginia,1630573,Signed on 08/13/21
12,Boston Celtics,BOS,1610612738,2023,00,Luke Kornet,Luke,luke-kornet,40,C-F,7-2,250,"JUL 15, 1995",28.0,6,Vanderbilt,1628436,Signed on 02/11/22
13,Boston Celtics,BOS,1610612738,2023,00,Al Horford,Al,al-horford,42,C-F,6-9,240,"JUN 03, 1986",37.0,16,Florida,201143,Traded from OKC on 06/18/21
14,Boston Celtics,BOS,1610612738,2023,00,Robert Williams III,Robert,robert-williams-iii,44,C-F,6-9,237,"OCT 17, 1997",25.0,5,Texas A&M,1629057,#27 Pick in 2018 Draft
15,Boston Celtics,BOS,1610612738,2023,00,Dalano Banton,Dalano,dalano-banton,45,F,6-7,204,"NOV 07, 1999",23.0,2,Nebraska,1630625,Signed on 07/16/23
16,Boston Celtics,BOS,1610612738,2023,00,Blake Griffin,Blake,blake-griffin,91,F,6-9,250,"MAR 16, 1989",34.0,13,Oklahoma,201933,Signed on 10/03/22
0,Cleveland Cavaliers,CLE,1610612739,2023,00,Max Strus,Max,max-strus,1,G-F,6-5,215,"MAR 28, 1996",27.0,4,DePaul,1629622,Traded from MIA on 07/06/23
1,Cleveland Cavaliers,CLE,1610612739,2023,00,Ty Jerome,Ty,ty-jerome,2,G-F,6-5,195,"JUL 08, 1997",26.0,4,Virginia,1629660,Signed on 07/06/23
