player,team,position,pos_rank,min,max,ADP,count
"Mahomes, Patrick",KCC,QB,QB1,1,2,1.1,34
"Allen, Josh",BUF,QB,QB2,2,6,2.7,34
"Murray, Kyler",ARI,QB,QB3,2,7,3.7,34
"McCaffrey, Christian",CAR,RB,RB1,1,11,5,34
"Prescott, Dak",DAL,QB,QB4,2,10,5.8,34
"Herbert, Justin",LAC,QB,QB5,3,12,6.1,34
"Jackson, Lamar",BAL,QB,QB6,3,13,6.7,34
"Taylor, Jonathan",IND,RB,RB2,4,18,10.2,33
"Lawrence, Trevor",JAC,QB,QB7,4,21,10.5,34
"Burrow, Joe",CIN,QB,QB8,5,19,11,33
"Barkley, Saquon",NYG,RB,RB3,5,21,11.4,33
"Cook, Dalvin",MIN,RB,RB4,4,24,12.2,33
"Wilson, Russell",SEA,QB,QB9,6,27,14.4,34
"Kamara, Alvin",NOS,RB,RB5,8,23,15.9,33
"Pitts, Kyle",ATL,TE,TE1,2,34,18.3,31
"Kittle, George",SFO,TE,TE2,11,40,19,33
"Brown, A.J.",TEN,WR,WR1,10,31,19.5,32
"Kelce, Travis",KCC,TE,TE3,7,40,20,33
"Jefferson, Justin",MIN,WR,WR2,13,31,20.7,32
"Metcalf, DK",SEA,WR,WR3,10,30,20.7,32
"Lance, Trey",SFO,QB,QB10,7,44,21.5,32
"Hill, Tyreek",KCC,WR,WR4,10,33,22.2,32
"Akers, Cam",LAR,RB,RB6,11,36,22.7,32
"Waller, Darren",LVR,TE,TE4,12,50,26,31
"Swift, D'Andre",DET,RB,RB7,12,40,26.6,31
"Fields, Justin",CHI,QB,QB11,12,48,28.2,30
"Chubb, Nick",CLE,RB,RB8,16,49,28.4,30
"Adams, Davante",GBP,WR,WR5,14,48,30.1,32
"Watson, Deshaun",HOU,QB,QB12,12,59,31.1,30
"Diggs, Stefon",BUF,WR,WR6,20,48,31.7,31
"Harris, Najee",PIT,RB,RB9,16,47,32.6,30
"Henry, Derrick",TEN,RB,RB10,8,63,34,29
"Lamb, CeeDee",DAL,WR,WR7,22,46,34.5,31
"Dobbins, J.K.",BAL,RB,RB11,25,53,35,29
"Ridley, Calvin",ATL,WR,WR8,18,51,36.5,32
"Rodgers, Aaron",GBP,QB,QB13,13,58,36.6,29
"Chase, Ja'Marr",CIN,WR,WR9,16,50,36.8,31
"Hurts, Jalen",PHI,QB,QB14,12,61,37.1,30
"Gibson, Antonio",WAS,RB,RB12,21,57,38,29
"Hockenson, T.J.",DET,TE,TE5,24,79,39.3,31
"Elliott, Ezekiel",DAL,RB,RB13,15,64,40.1,30
"Edwards-Helaire, Clyde",KCC,RB,RB14,17,52,40.6,29
"Hopkins, DeAndre",ARI,WR,WR10,26,55,43.7,29
"Mixon, Joe",CIN,RB,RB15,31,58,43.9,29
"Jones, Aaron",GBP,RB,RB16,26,61,44.7,29
"Andrews, Mark",BAL,TE,TE6,26,74,45.3,30
"Tagovailoa, Tua",MIA,QB,QB15,21,71,46.2,30
"Stafford, Matthew",LAR,QB,QB16,18,71,48.7,30
"Etienne, Travis",JAC,RB,RB17,38,61,48.9,29
"Ekeler, Austin",LAC,RB,RB18,34,72,50.6,29
"Wilson, Zach",NYJ,QB,QB17,25,67,50.8,29
"Mayfield, Baker",CLE,QB,QB18,13,74,50.9,29
