,player_id,player,team,position,score,min,max,adp,count
12,13116,"Mahomes, Patrick",KCC,QB,424.40,1.0,5.0,1.7,148.0
14,13130,"McCaffrey, Christian",CAR,RB,92.90,1.0,8.0,2.1,142.0
2,11244,"Kelce, Travis",KCC,TE,391.76,1.0,10.0,4.0,123.0
21,13589,"Allen, Josh",BUF,QB,465.06,2.0,9.0,4.0,119.0
25,14056,"Murray, Kyler",ARI,QB,408.24,1.0,10.0,5.0,114.0
13,13128,"Cook, Dalvin",MIN,RB,369.80,2.0,13.0,6.2,100.0
22,13593,"Jackson, Lamar",BAL,QB,350.78,2.0,12.0,6.6,93.0
7,12620,"Prescott, Dak",DAL,QB,142.14,2.0,11.0,6.6,97.0
11,13113,"Watson, Deshaun",HOU,QB,416.82,7.0,7.0,7.0,1.0
32,15329,"Pitts, Kyle",ATL,TE,0,7.0,7.0,7.0,1.0
6,12263,"Waller, Darren",LVR,TE,347.60,3.0,15.0,9.5,68.0
16,13132,"Kamara, Alvin",NOS,RB,382.80,2.0,18.0,9.9,53.0
19,13403,"Koo, Younghoe",ATL,PK,165.00,10.0,10.0,10.0,1.0
9,12626,"Henry, Derrick",TEN,RB,374.60,2.0,16.0,10.2,55.0
27,14779,"Herbert, Justin",LAC,QB,351.84,2.0,17.0,10.6,49.0
1,10703,"Wilson, Russell",SEA,QB,395.28,6.0,16.0,11.3,44.0
23,13604,"Barkley, Saquon",NYG,RB,14.40,5.0,18.0,11.7,41.0
30,14802,"Taylor, Jonathan",IND,RB,275.30,1.0,19.0,13.1,27.0
24,13610,"Chubb, Nick",CLE,RB,230.70,2.0,21.0,13.1,11.0
17,13299,"Kittle, George",SFO,TE,158.10,7.0,25.0,13.9,32.0
8,12625,"Elliott, Ezekiel",DAL,RB,238.70,8.0,20.0,14.3,21.0
28,14783,"Hurts, Jalen",PHI,QB,79.94,13.0,16.0,14.5,2.0
5,12186,"Diggs, Stefon",BUF,WR,301.60,15.0,15.0,15.0,1.0
0,10697,"Tannehill, Ryan",TEN,QB,374.36,7.0,20.0,15.3,12.0
34,7836,"Rodgers, Aaron",GBP,QB,486.26,8.0,23.0,15.8,12.0
3,11675,"Adams, Davante",GBP,WR,337.40,12.0,23.0,16.0,4.0
33,5848,"Brady, Tom",TBB,QB,363.42,9.0,25.0,16.1,18.0
18,13319,"Jones, Aaron",GBP,RB,268.90,4.0,24.0,16.4,5.0
10,12801,"Hill, Tyreek",KCC,WR,316.40,8.0,24.0,16.6,9.0
4,11679,"Beckham, Odell",CLE,WR,85.32,17.0,17.0,17.0,1.0
20,13404,"Ekeler, Austin",LAC,RB,161.30,14.0,24.0,18.2,5.0
26,14777,"Burrow, Joe",CIN,QB,156.72,9.0,26.0,18.5,4.0
35,9431,"Stafford, Matthew",LAR,QB,235.06,19.0,19.0,19.0,2.0
29,14799,"Akers, Cam",LAR,RB,111.30,18.0,21.0,19.3,3.0
15,13131,"Mixon, Joe",CIN,RB,101.60,14.0,27.0,20.5,2.0
31,14803,"Edwards-Helaire, Clyde",KCC,RB,183.50,23.0,23.0,23.0,1.0
