index,player_id,player,team,position,score,min,max,adp,count
1,13116,"Mahomes, Patrick",KCC,QB,424.4,1,5,1.5,46
2,13130,"McCaffrey, Christian",CAR,RB,92.9,1,8,2.7,47
3,13589,"Allen, Josh",BUF,QB,465.06,1,11,4.3,46
4,11244,"Kelce, Travis",KCC,TE,391.76,1,14,5.2,47
5,14056,"Murray, Kyler",ARI,QB,408.24,2,13,6.1,46
6,13128,"Cook, Dalvin",MIN,RB,369.8,2,12,6.2,47
7,12620,"Prescott, Dak",DAL,QB,142.14,2,20,7.2,46
8,13593,"Jackson, Lamar",BAL,QB,350.78,3,13,7.3,46
9,13132,"Kamara, Alvin",NOS,RB,382.8,3,17,9.8,46
10,12626,"Henry, Derrick",TEN,RB,374.6,4,16,10.3,45
11,13604,"Barkley, Saquon",NYG,RB,14.4,2,18,10.7,45
12,14779,"Herbert, Justin",LAC,QB,351.84,4,31,12.5,45
13,14802,"Taylor, Jonathan",IND,RB,275.3,3,22,14.2,45
14,10703,"Wilson, Russell",SEA,QB,395.28,5,28,15.3,43
15,12263,"Waller, Darren",LVR,TE,347.6,6,32,15.8,44
16,12625,"Elliott, Ezekiel",DAL,RB,238.7,10,27,17.7,43
17,13610,"Chubb, Nick",CLE,RB,230.7,12,34,18.4,43
18,7836,"Rodgers, Aaron",GBP,QB,486.26,6,34,19.6,43
19,13299,"Kittle, George",SFO,TE,158.1,9,37,20,41
20,12801,"Hill, Tyreek",KCC,WR,316.4,8,37,20.2,42
21,13319,"Jones, Aaron",GBP,RB,268.9,9,36,22.3,42
22,11675,"Adams, Davante",GBP,WR,337.4,7,40,22.6,43
23,5848,"Brady, Tom",TBB,QB,363.42,9,55,24.7,40
24,10697,"Tannehill, Ryan",TEN,QB,374.36,15,47,25.3,41
25,13404,"Ekeler, Austin",LAC,RB,161.3,20,42,26.2,41
26,14777,"Burrow, Joe",CIN,QB,156.72,13,72,27.1,41
27,12186,"Diggs, Stefon",BUF,WR,301.6,13,39,27.4,40
28,14799,"Akers, Cam",LAR,RB,111.3,18,40,29,38
29,9431,"Stafford, Matthew",LAR,QB,235.06,16,63,30.2,40
30,14783,"Hurts, Jalen",PHI,QB,79.94,14,59,31,39
31,13131,"Mixon, Joe",CIN,RB,101.6,14,47,31.2,37
32,12155,"Abdullah, Ameer",MIN,RB,30,33,33,33,1
33,15254,"Harris, Najee",PIT,RB,0,13,45,33,39
34,13629,"Ridley, Calvin",ATL,WR,269.5,11,48,33.6,39
35,14852,"Gibson, Antonio",WAS,RB,208.7,22,50,34.5,37
36,11232,"Hopkins, DeAndre",ARI,WR,267.8,21,49,34.6,38
37,14104,"Brown, A.J.",TEN,WR,240,12,53,36.8,36
38,14102,"Metcalf, DK",SEA,WR,261.3,21,48,37.4,37
39,14803,"Edwards-Helaire, Clyde",KCC,RB,183.5,25,56,38.6,36
40,14836,"Jefferson, Justin",MIN,WR,259.2,22,59,39.7,37
41,15329,"Pitts, Kyle",ATL,TE,0,25,57,39.8,37
42,14797,"Swift, D'Andre",DET,RB,189.8,25,52,40.1,37
43,9099,"Ryan, Matt",ATL,QB,259.94,22,100,41.9,37
44,10700,"Cousins, Kirk",MIN,QB,324.7,22,90,42.1,37
45,12652,"Thomas, Michael",NOS,WR,76.4,26,58,43.9,37
46,14800,"Dobbins, J.K.",BAL,RB,180.5,26,60,46.7,36
47,14079,"Sanders, Miles",PHI,RB,179.9,32,61,46.9,36
48,15237,"Lawrence, Trevor",JAC,QB,0,23,88,47.2,37
49,11222,"Allen, Keenan",LAC,WR,224.6,36,63,48,35
50,14138,"Hockenson, T.J.",DET,TE,215.3,32,69,49.3,35
51,14071,"Montgomery, David",CHI,RB,279.8,30,62,50.2,35
52,13364,"Carson, Chris",SEA,RB,197.8,32,70,50.4,36
53,11678,"Robinson, Allen",CHI,WR,245.9,41,64,52.1,35
54,13671,"Andrews, Mark",BAL,TE,207.1,31,75,53.8,36
55,13590,"Mayfield, Baker",CLE,QB,237.12,20,101,56.2,36
56,14073,"Jacobs, Josh",LVR,RB,249.8,37,71,56.8,35
57,14109,"McLaurin, Terry",WAS,WR,206.8,45,69,56.9,34
58,14832,"Lamb, CeeDee",DAL,WR,204.7,38,72,58,35
59,13163,"Godwin, Chris",TBB,WR,180,29,89,58,34
60,10271,"Jones, Julio",TEN,WR,138.6,39,76,60.9,34
61,14555,"Olszewski, Gunner",NEP,WR,25,61,61,61,1
62,11671,"Evans, Mike",TBB,WR,241.1,45,71,61.9,33
63,12175,"Cooper, Amari",DAL,WR,218.3,54,74,62.4,32
64,14081,"Gaskin, Myles",MIA,RB,163.2,46,82,63.4,33
65,11644,"Carr, Derek",LVR,QB,291.12,32,138,66.2,35
66,14778,"Tagovailoa, Tua",MIA,QB,120.96,35,112,66.3,34
67,11228,"Woods, Robert",LAR,WR,227.6,51,79,67.2,33
68,13635,"Moore, D.J.",CAR,WR,204.5,57,78,67.8,33
69,13138,"Hunt, Kareem",CLE,RB,231,54,90,69,34
70,12610,"Wentz, Carson",IND,QB,100.4,38,102,69.4,34
71,15253,"Etienne, Travis",JAC,RB,0,48,98,71.1,34
72,11938,"Thielen, Adam",MIN,WR,243,49,87,71.9,33
73,15281,"Chase, Ja'Marr",CIN,WR,0,49,88,72.5,33
74,12164,"Davis, Mike",ATL,RB,204.5,51,95,75.1,32
75,15240,"Lance, Trey",SFO,QB,0,36,115,75.7,31
76,15256,"Williams, Javonte",DEN,RB,0,48,112,75.9,34
77,14840,"Aiyuk, Brandon",SFO,WR,177,56,90,76.6,32
78,14208,"Johnson, Diontae",PIT,WR,200.3,63,97,77,32
79,13164,"Kupp, Cooper",LAR,WR,186.7,66,93,78.3,32
80,12187,"Lockett, Tyler",SEA,WR,243.9,65,98,78.9,32
81,13113,"Watson, Deshaun",HOU,QB,416.82,39,148,80.6,32
82,13277,"Golladay, Kenny",NYG,WR,63.8,62,97,80.9,33
83,13726,"Edmonds, Chase",ARI,RB,163,63,103,80.9,31
84,13674,"Goedert, Dallas",PHI,TE,144.4,61,112,81.9,32
85,14813,"Robinson, James",JAC,RB,259.4,54,115,83.7,31
86,15238,"Fields, Justin",CHI,QB,0,39,126,84,31
87,13630,"Sutton, Courtland",DEN,WR,9.1,68,101,85,29
88,11679,"Beckham, Odell",CLE,WR,85.32,67,100,85.2,30
89,14137,"Fant, Noah",DEN,TE,183.3,57,116,85.4,33
90,14835,"Higgins, Tee",CIN,WR,187.6,62,108,85.7,32
91,7401,"Roethlisberger, Ben",PIT,QB,290.22,47,131,85.8,31
92,13156,"Smith-Schuster, JuJu",PIT,WR,209.6,73,114,90.2,28
93,14841,"Claypool, Chase",PIT,WR,206.4,74,112,92.1,30
94,14059,"Jones, Daniel",NYG,QB,117.52,45,132,92.5,32
95,13668,"Chark, D.J.",JAC,WR,145.6,77,108,93.8,28
96,12151,"Gordon, Melvin",DEN,RB,208.9,66,122,94.6,29
97,8062,"Fitzpatrick, Ryan",WAS,QB,162.74,44,167,95.6,31
98,15257,"Sermon, Trey",SFO,RB,0,58,118,96,30
99,11647,"Thomas, Logan",WAS,TE,215.62,59,124,98.5,31
100,11674,"Cooks, Brandin",HOU,WR,217,71,125,98.8,28
101,12447,"Mostert, Raheem",SFO,RB,105.2,62,142,99.1,29
102,12650,"Boyd, Tyler",CIN,WR,175.14,82,124,99.8,29
103,14136,"Samuel, Deebo",SFO,WR,74.2,76,119,100.7,29
104,13672,"Gesicki, Mike",MIA,TE,195.3,45,134,101.4,30
105,14833,"Jeudy, Jerry",DEN,WR,151.1,89,118,101.6,28
106,15239,"Wilson, Zach",NYJ,QB,0,50,167,103.7,32
107,13129,"Fournette, Leonard",TBB,RB,129,81,119,104.3,27
108,14075,"Harris, Damien",NEP,RB,105.8,87,130,104.8,28
109,15282,"Smith, DeVonta",PHI,WR,0,89,136,105.8,27
110,15258,"Carter, Michael",NYJ,RB,0,89,126,106.3,29
111,13592,"Darnold, Sam",CAR,QB,59.02,67,162,106.7,30
112,13606,"Jones, Ronald",TBB,RB,197.3,88,128,107,28
113,12171,"Johnson, David",HOU,RB,190,70,150,109.5,26
114,13157,"Samuel, Curtis",WAS,WR,198.1,80,134,110.8,26
115,12930,"Anderson, Robby",CAR,WR,201.6,96,123,111,28
116,11680,"Landry, Jarvis",CLE,WR,179.96,87,127,111.9,27
117,14838,"Shenault, Laviska",JAC,WR,147.6,93,133,114.4,28
118,13427,"Tonyan, Robert",GBP,TE,209.6,75,140,114.7,28
119,13189,"Engram, Evan",NYG,TE,174,77,144,114.8,30
120,13146,"Conner, James",ARI,RB,173.1,83,138,118.7,27
121,12647,"Fuller, Will",MIA,WR,181.4,91,156,121.1,27
122,14141,"Smith Jr., Irv",MIN,TE,120.5,90,152,121.5,26
123,12611,"Goff, Jared",DET,QB,237.98,51,168,122.2,29
124,13646,"Gallup, Michael",DAL,WR,165.8,95,151,122.6,25
125,12678,"Higbee, Tyler",LAR,TE,155.2,80,149,123.1,25
126,14798,"Moss, Zack",BUF,RB,112.1,91,157,124,26
127,15284,"Waddle, Jaylen",MIA,WR,0,101,185,126.2,23
128,12140,"Winston, Jameis",NOS,QB,-0.1,81,168,126.8,22
129,14842,"Pittman, Michael",IND,WR,90.4,96,151,128.2,23
130,13153,"Davis, Corey",NYJ,WR,183.4,89,181,130.9,24
131,10973,"Beasley, Cole",BUF,WR,195.5,103,156,131.9,24
132,14805,"Dillon, AJ",GBP,RB,45.3,112,176,132.3,23
133,14105,"Brown, Marquise",BAL,WR,171.5,119,158,133.7,22
134,13622,"Hines, Nyheim",IND,RB,185.7,109,180,134.2,25
135,13809,"Gage, Russell",ATL,WR,172.06,87,170,134.4,26
136,13193,"Smith, Jonnu",NEP,TE,166.2,95,169,134.4,22
137,13424,"Hill, Taysom",NOS,QB,172.62,61,202,135,23
138,12630,"Drake, Kenyan",LVR,RB,211.7,114,155,135,22
139,12676,"Henry, Hunter",NEP,TE,180.3,36,161,135.2,23
