 player, player_id, team,min,max,awb,count,week
"Mitchell, Elijah",15263,SFO,0,100,80.8,52,0
"Callaway, Marquez",15034,NOS,15,100,61.9,106,0
"Byrd, Damiere",12464,CHI,50,50,50,1,0
"Gainwell, Kenneth",15255,PHI,50,50,50,1,0
"Michel, Sony",13607,LAR,10,100,46.5,33,0
"Heinicke, Taylor",12476,WAS,0,100,35.6,83,0
"Engram, Evan",13189,NYG,33,33,33,1,0
"Williams, Ty'Son",15040,BAL,2,100,29.4,157,0
"Jones, Tony",14828,NOS,2,100,26.2,147,0
"Murray, Latavius",11390,BAL,26,26,26,1,0
"Anderson, Robby",12930,CAR,24,24,24,1,0
"Callaway, Antonio",13640,FA,13,32,22.5,2,0
"Trautman, Adam",14870,NOS,18,18,18,1,0
"Patrick, Tim",13377,DEN,0,75,17.1,112,0
"Brightwell, Gary",15462,NYG,15,15,15,1,0
"Stevenson, Rhamondre",15259,NEP,10,17,13.5,2,0
"Johnson, Kerryon",13612,FA,1,30,13,4,0
"Johnson, Juwan",14861,NOS,0,100,12.8,103,0
"Funk, Jake",15480,LAR,5,24,12.7,3,0
"Beasley, Cole",10973,BUF,12,12,12,1,0
"Hardman, Mecole",14113,KCC,12,12,12,1,0
"Gallman, Wayne",13135,ATL,1,50,11.5,23,0
"Bell, Le'Veon",11192,FA*,0,100,10.9,47,0
"Wilkins, Jordan",13789,IND,10,11,10.5,2,0
"Johnson, Ty",14095,NYJ,0,26,10.4,23,0
"Pascal, Zach",13488,IND,0,41,10.2,81,0
"Brown, Dyami",15292,WAS,5,13,10.2,4,0
"Ingram, Mark",10276,HOU,0,50,9.8,65,0
"Jefferson, Van",14858,LAR,0,42,9.7,17,0
"Hasty, JaMycal",14821,SFO,0,44,9.7,89,0
"Arnold, Dan",13880,CAR,8,11,9.5,2,0
"Collins, Nico",15290,HOU,9,9,9,1,0
"Davis, Gabriel",14845,BUF,9,9,9,1,0
"Williams, Damien",11886,CHI,0,30,8.2,18,0
"Walker, P.J.",13416,CAR,1,15,8,2,0
"Eason, Jacob",14780,IND,0,21,8,10,0
"Thomas, Ian",13678,CAR,8,8,8,1,0
"Minshew, Gardner",14067,PHI,0,24,8,1,0
"Harris, Deonte",14558,NOS,0,26,7.8,24,0
"Hyde, Carlos",11657,JAC,0,55,7.8,78,0
"Valdes-Scantling, Marquez",13793,GBP,0,23,7.8,19,0
"Kirk, Christian",13633,ARI,1,12,7.7,3,0
"Conklin, Tyler",13675,MIN,0,51,7.7,45,0
"Hamler, KJ",14837,DEN,0,34,7.3,54,0
"Rountree, Larry",15272,LAC,0,31,7.3,39,0
"Osborn, K.J.",14977,MIN,0,45,7,43,0
"Mack, Marlon",13234,IND,7,7,7,1,0
"Dalton, Andy",10313,CHI,0,15,6.5,3,0
"Schwartz, Anthony",15296,CLE,0,26,6.2,13,0
"Cobb, Randall",10308,GBP,0,50,6.1,48,0
"Snell, Benny",14072,PIT,4,8,6,2,0
"McNichols, Jeremy",13143,TEN,0,31,5.9,6,0
"O'Shaughnessy, James",12330,JAC,0,48,5.9,53,0
"Brown, Pharaoh",13994,HOU,0,49,5.8,38,0
"Scott, Boston",13814,PHI,0,22,5.8,36,0
"Vaughn, Ke'Shawn",14810,TBB,0,11,5.5,1,0
"Njoku, David",13192,CLE,0,24,5.5,45,0
"Kroft, Tyler",12212,NYJ,0,28,5.4,55,0
"Watkins, Quez",14992,PHI,0,22,5.2,44,0
"Wilson, Cedrick",13652,DAL,0,21,5.2,38,0
"Miller, Anthony",13639,HOU,0,10,5.2,3,0
"Freiermuth, Pat",15331,PIT,0,30,5.1,13,0
"Palmer, Josh",15319,LAC,0,13,5.1,7,0
"Gordon, Josh",10960,FA,5,5,5,1,0
"Smith, Keith",12040,ATL,5,5,5,1,0
"Berrios, Braxton",13638,NYJ,5,5,5,1,0
"Henne, Chad",9073,KCC,5,5,5,1,0
"Williams, Trayveon",14076,FA,5,5,5,1,0
"Jarwin, Blake",13722,DAL,5,5,5,1,0
"Amendola, Danny",9308,HOU,0,20,4.8,3,0
"Schultz, Dalton",13772,DAL,0,14,4.8,14,0
"Jackson, DeSean",9075,LAR,0,12,4.8,3,0
"Pringle, Byron",13863,KCC,0,15,4.8,3,0
"Parham, Donald",14341,LAC,0,20,4.8,11,0
"Patterson, Jaret",15260,WAS,0,25,4.8,26,0
"Wilson, Jeffery",14017,SFO,0,23,4.7,14,0
"Taylor, J.J.",14827,NEP,0,25,4.4,13,0
"Booker, Devontae",12629,NYG,0,11,4.4,6,0
"Herndon, Chris",13679,MIN,0,11,4.2,13,0
