index, player, team,min,max,awb,count,week
1,"Hines, Nyheim",IND,50,50,50,1,9
2,"Peterson, Adrian",TEN,0,100,43,69,9
3,"Hill, Taysom",NOS,0,100,40.9,23,9
4,"Gallup, Michael",DAL,4,72,38,2,9
5,"McNichols, Jeremy",TEN,0,89,36.4,66,9
6,"Flacco, Joe",NYJ,25,25,25,1,9
7,"White, Mike",NYJ,0,100,16.8,82,9
8,"Edwards, Bryan",LVR,0,40,13.7,2,9
9,"Love, Jordan",GBP,0,67,13.6,41,9
10,"Conklin, Tyler",MIN,8,18,13,2,9
11,"Stevenson, Rhamondre",NEP,11,11,11,1,9
12,"Scott, Boston",PHI,0,25,10.8,10,9
13,"Renfrow, Hunter",LVR,10,10,10,1,9
14,"Johnson, Tyler",TBB,10,10,10,1,9
15,"Shepard, Sterling",NYG,10,10,10,1,9
16,"Gore, Derrick",KCC,0,60,9.3,56,9
17,"Arnold, Dan",JAC,0,26,9,2,9
18,"Siemian, Trevor",NOS,0,50,9,20,9
19,"Murray, Latavius",BAL,0,20,8.5,5,9
20,"Jones, Zay",LVR,0,15,7,2,9
21,"Hyde, Carlos",JAC,0,30,7,31,9
22,"Mims, Denzel",NYJ,7,7,7,1,9
23,"Sargent, Mekhi",FA,7,7,7,1,9
24,"Cobb, Randall",GBP,7,7,7,1,9
25,"Patterson, Jaret",WAS,0,20,7,5,9
26,"Smith, Tre'Quan",NOS,0,30,6.1,10,9
27,"Williams, Ty'Son",BAL,0,9,6,3,9
28,"Aiyuk, Brandon",SFO,6,6,6,1,9
29,"Gage, Russell",ATL,2,11,6,3,9
30,"Howard, Jordan",PHI,0,35,5.9,21,9
31,"Moore, Elijah",NYJ,1,12,5.5,4,9
32,"Hurst, Hayden",ATL,2,9,5.5,2,9
33,"Agnew, Jamal",JAC,0,25,5.2,38,9
34,"Williams, Damien",CHI,5,5,5,1,9
35,"Smith-Schuster, JuJu",PIT,5,5,5,1,9
36,"Johnson, Ty",NYJ,0,20,4.7,16,9
37,"Wilson, Cedrick",DAL,0,25,4.7,8,9
38,"Sharpe, Tajae",ATL,0,39,4.5,24,9
39,"Phillips, Scottie",HOU,0,12,4.3,2,9
40,"Pascal, Zach",IND,0,11,4.3,2,9
41,"Lazard, Allen",GBP,0,25,4.2,8,9
42,"Mills, Davis",HOU,0,15,4,4,9
43,"Okwuegbunam, Albert",DEN,0,25,4,39,9
44,"Hilliard, Dontrell",TEN,1,7,4,3,9
45,"Zaccheaus, Olamide",ATL,1,7,4,2,9
46,"Engram, Evan",NYG,3,3,3,1,9
47,"Tucker, Justin",BAL,3,3,3,1,9
48,"Brees, Drew",FA,3,3,3,1,9
49,"Bourne, Kendrick",NEP,3,3,3,1,9
50,"Darnold, Sam",CAR,3,3,3,1,9
51,"Minshew, Gardner",PHI,1,5,3,2,9
52,"Golladay, Kenny",NYG,0,5,2.5,1,9
53,"Davis, Gabriel",BUF,2,3,2.5,2,9
54,"Lewis, Marcedes",GBP,0,7,2.5,11,9
55,"Freeman, Devonta",BAL,0,11,2.2,3,9
56,"Patrick, Tim",DEN,0,5,2.2,2,9
57,"Hasty, JaMycal",SFO,0,7,2.1,3,9
58,"Badgley, Mike",IND,1,3,2,2,9
59,"Sweeney, Tommy",BUF,2,2,2,2,9
60,"Moreau, Foster",LVR,0,9,1.9,5,9
61,"Valdes-Scantling, Marquez",GBP,0,3,1.8,4,9
62,"Akins, Jordan",HOU,0,3,1.6,3,9
63,"Jordan, Brevin",HOU,1,2,1.5,2,9
64,"Jackson, Justin",LAC,1,2,1.5,2,9
65,"Burkhead, Rex",HOU,0,4,1.5,2,9
66,"Agholor, Nelson",NEP,0,2,1.3,2,9
67,"Carlson, Daniel",LVR,0,4,1,2,9
68,"Barber, Peyton",LVR,1,1,1,1,9
69,"Njoku, David",CLE,1,1,1,1,9
70,"Alie-Cox, Mo",IND,1,1,1,1,9
71,"Doyle, Jack",IND,0,2,1,1,9
72,"Peoples-Jones, Donovan",CLE,1,1,1,1,9
73,"Pettis, Dante",NYG,1,1,1,1,9
74,"Wilkins, Jordan",FA,1,1,1,1,9
75,"Sermon, Trey",SFO,1,1,1,1,9
76,"Allen, Brandon",CIN,1,1,1,1,9
77,"Rivers, Philip",FA,1,1,1,2,9
78,"Wilson, Jeffery",SFO,0,3,0.8,1,9
79,"McCoy, Colt",ARI,0,2,0.7,1,9
80,"Tremble, Tommy",CAR,0,2,0.7,1,9
81,"Harris, Deonte",NOS,0,2,0.7,1,9
82,"Joseph, Greg",MIN,0,1,0.5,1,9
83,"Bernard, Giovani",TBB,0,2,0.5,1,9
84,"Deguara, Josiah",GBP,0,2,0.3,1,9
85,"Folk, Nick",NEP,0,1,0.2,3,9
86,"Westbrook-Ikhine, Nick",TEN,0,0,0,0,9
87,"Akers, Cam",LAR,0,0,0,0,9
88,"Allen, Kyle",WAS,0,0,0,0,9
89,"Taylor, J.J.",NEP,0,0,0,0,9
90,"Trautman, Adam",NOS,0,0,0,0,9
91,"Watkins, Quez",PHI,0,0,0,0,9
92,"Bullock, Randy",TEN,0,0,0,0,9
93,"Collins, Nico",HOU,0,0,0,0,9
94,"Santos, Cairo",CHI,0,0,0,0,9
95,"Rudolph, Kyle",NYG,0,0,0,0,9
96,"Gay, Matt",LAR,0,0,0,0,9
97,"Foreman, D'Onta",FA,0,0,0,0,9
98,"Ingram, Mark",NOS,0,0,0,0,9
99,"Jefferson, Jermar",DET,0,0,0,0,9
100,"Jefferson, Van",LAR,0,0,0,0,9
101,"Johnson, Brian",NOS,0,0,0,0,9
102,"Johnson, Juwan",NOS,0,0,0,0,9
103,"Firkser, Anthony",TEN,0,0,0,0,9
104,"Everett, Gerald",SEA,0,0,0,0,9
105,"Keenum, Case",CLE,0,0,0,0,9
106,"Kmet, Cole",CHI,0,0,0,0,9
107,"Kroft, Tyler",NYJ,0,0,0,0,9
108,"Evans, Darrynton",TEN,0,0,0,0,9
109,"Marshall, Terrace",CAR,0,0,0,0,9
110,"McFarland, Anthony",PIT,0,0,0,0,9
111,"Drake, Kenyan",LVR,0,0,0,0,9
112,"Crosby, Mason",GBP,0,0,0,0,9
113,"Cephus, Quintez",DET,0,0,0,0,9
114,"Carter, DeAndre",WAS,0,0,0,0,9
115,"Prater, Matt",ARI,0,0,0,0,9
116,"Butler, Hakeem",FA,0,0,0,0,9
117,"Abdullah, Ameer",CAR,0,0,0,0,9
