 player, player_id, team,min,max,awb,count,week
"Hubbard, Chuba",15261,CAR,60,93,71.5,4,4
"Schultz, Dalton",13772,DAL,1,56,19.9,17,4
"Sanders, Emmanuel",9918,BUF,6,28,17,2,4
"Valdes-Scantling, Marquez",13793,GBP,3,41,16.2,4,4
"Barber, Peyton",12637,LVR,0,58,13.8,82,4
"Gordon, Josh",10960,FA*,0,79,13.4,46,4
"Knox, Dawson",14143,BUF,1,32,12.3,6,4
"Brissett, Jacoby",12616,MIA,0,32,11.7,8,4
"Dalton, Andy",10313,CHI,6,12,10.2,4,4
"Mills, Davis",15252,HOU,0,50,10.2,7,4
"Conklin, Tyler",13675,MIN,0,55,10,37,4
"Renfrow, Hunter",14123,LVR,0,20,10,4,4
"Flacco, Joe",9064,PHI,10,10,10,1,4
"Taylor, Tyrod",10413,HOU,3,15,9.3,3,4
"Green, A.J.",10261,ARI,0,25,8.8,3,4
"Tremble, Tommy",15332,CAR,0,44,8.2,64,4
"Wentz, Carson",12610,IND,8,8,8,1,4
"Jefferson, Van",14858,LAR,8,8,8,1,4
"Stevenson, Rhamondre",15259,NEP,0,28,8,6,4
"Everett, Gerald",13236,SEA,4,11,7.5,2,4
"Cephus, Quintez",14850,DET,7,7,7,1,4
"Bernard, Giovani",11193,TBB,1,13,6.9,7,4
"Rogers, Chester",12934,TEN,0,23,6.7,7,4
"Gage, Russell",13809,ATL,0,12,6,1,4
"Johnson, Ty",14095,NYJ,6,6,6,1,4
"Freeman, Royce",13617,CAR,0,23,6,37,4
"Jackson, DeSean",9075,LAR,0,50,5.5,21,4
"Mack, Marlon",13234,IND,2,11,5.3,11,4
"Watkins, Quez",14992,PHI,0,11,5.3,6,4
"Juszczyk, Kyle",11367,SFO,0,15,5.1,8,4
"Trautman, Adam",14870,NOS,3,7,5,2,4
"Callaway, Marquez",15034,NOS,5,5,5,1,4
"Rountree, Larry",15272,LAC,5,5,5,1,4
"Wilson, Cedrick",13652,DAL,0,9,5,2,4
"Kroft, Tyler",12212,NYJ,5,5,5,1,4
"Berrios, Braxton",13638,NYJ,0,20,4.8,5,4
"Johnson, Collin",14853,NYG,0,11,4.6,8,4
"Taylor, J.J.",14827,NEP,0,23,4.6,33,4
"Smith, Tre'Quan",13645,NOS,2,7,4.5,2,4
"Tucker, Justin",10976,BAL,3,6,4.5,2,4
"Felton, Demetric",15270,CLE,2,9,4.5,4,4
"Hilton, T.Y.",10729,IND,0,17,4.2,8,4
"Akins, Jordan",13753,HOU,4,4,4,1,4
"Williams, Maxx",12206,ARI,0,10,3.7,2,4
"Crowder, Jamison",12184,NYJ,0,10,3.7,2,4
"Miller, Anthony",13639,HOU,0,17,3.6,6,4
"McManus, Brandon",11947,DEN,0,27,3.6,21,4
"Westbrook-Ikhine, Nick",15109,TEN,0,13,3.5,19,4
"Higgins, Rashard",12656,CLE,0,7,3.5,1,4
"Raymond, Kalif",13066,DET,0,12,3.4,10,4
"Washington, James",13631,PIT,0,7,3.2,3,4
"Bolden, Brandon",10932,NEP,0,12,3.1,8,4
"Toney, Kadarius",15289,NYG,1,7,3,4,4
"Carlson, Daniel",13718,LVR,0,6,3,9,4
"Conley, Chris",12257,HOU,3,3,3,1,4
"Jackson, Justin",13620,LAC,3,3,3,1,4
"Swain, Freddie",14865,SEA,0,5,3,2,4
"Ahmed, Salvon",14811,MIA,3,3,3,1,4
"Bourne, Kendrick",13418,NEP,0,8,2.6,14,4
"Ertz, Zach",11247,PHI,0,5,2.5,1,4
"Njoku, David",13192,CLE,1,4,2.5,2,4
"Haskins, Dwayne",14058,PIT,0,5,2.5,1,4
"Arnold, Dan",13880,JAC,0,8,2.5,11,4
"Collins, Alex",12628,SEA,1,5,2.4,7,4
"Brown, Malcolm",12386,MIA,1,3,2.3,3,4
"Firkser, Anthony",13919,TEN,0,7,2.3,1,4
"Moreau, Foster",14239,LVR,2,2,2,1,4
"Spencer, Diontae",14565,DEN,2,2,2,1,4
"Nelson, J.J.",12319,IND,2,2,2,1,4
"Jefferson, Jermar",15262,DET,2,2,2,1,4
"Foles, Nick",10699,CHI,0,6,2,1,4
"Cannon, Trenton",13816,SFO,2,2,2,1,4
"Zaccheaus, Olamide",14592,ATL,0,5,1.8,3,4
"Freiermuth, Pat",15331,PIT,1,3,1.8,5,4
"Okwuegbunam, Albert",14873,DEN,0,5,1.5,2,4
"Penny, Rashaad",13608,SEA,0,3,1.3,2,4
"McPherson, Evan",15368,CIN,0,4,1.2,2,4
"McNichols, Jeremy",13143,TEN,0,3,1.1,8,4
"Peoples-Jones, Donovan",14857,CLE,0,2,1,1,4
"Crosby, Mason",8742,GBP,1,1,1,1,4
"Fitzpatrick, Ryan",8062,WAS,1,1,1,1,4
"Rudolph, Mason",13595,PIT,0,2,1,2,4
"Evans, Chris",15275,CIN,0,3,1,4,4
"Eskridge, D'Wayne",15302,SEA,1,1,1,1,4
"Gay, Matt",14244,LAR,0,3,1,5,4
"Zuerlein, Greg",10868,DAL,1,1,1,1,4
"Bateman, Rashod",15293,BAL,1,1,1,1,4
"Hasty, JaMycal",14821,SFO,1,1,1,1,4
"Brown, John",11783,FA,1,1,1,1,4
"Johnson, Tyler",14864,TBB,1,1,1,1,4
"Dallas, DeeJay",14815,SEA,0,1,0.7,2,4
"McLaughlin, Chase",14717,CLE,0,1,0.5,1,4
"Bullock, Randy",10862,TEN,0,1,0.5,1,4
"Wilson, Jeffery",14017,SFO,0,1,0.5,1,4
"Schwartz, Anthony",15296,CLE,0,1,0.5,1,4
"Bass, Tyler",14983,BUF,0,1,0.3,1,4
"Folk, Nick",8851,NEP,0,1,0.2,1,4
"Joseph, Greg",13898,MIN,0,1,0.2,1,4
"Freeman, Devonta",11660,BAL,0,0,0,0,4
"Love, Jordan",14782,GBP,0,0,0,0,4
"Meyers, Jakobi",14127,NEP,0,0,0,0,4
"Allen, Kyle",13879,WAS,0,0,0,0,4
"Williams, Damien",11886,CHI,0,0,0,0,4
"Wilkins, Jordan",13789,IND,0,0,0,0,4
"White, James",11747,NEP,0,0,0,0,4
"Brees, Drew",4925,FA,0,0,0,0,4
"Mims, Denzel",14846,NYJ,0,0,0,0,4
"Bryant, Harrison",14875,CLE,0,0,0,0,4
"Vizcaino, Tristan",14650,LAC,0,0,0,0,4
